,date,open_BTC,high_BTC,low_BTC,close_BTC,open_ETH,high_ETH,low_ETH,close_ETH,open_LTC,high_LTC,low_LTC,close_LTC,open_NEO,high_NEO,low_NEO,close_NEO,open_BNB,high_BNB,low_BNB,close_BNB,open_XRP,high_XRP,low_XRP,close_XRP,open_LINK,high_LINK,low_LINK,close_LINK,open_EOS,high_EOS,low_EOS,close_EOS,open_TRX,high_TRX,low_TRX,close_TRX,open_ETC,high_ETC,low_ETC,close_ETC,open_XLM,high_XLM,low_XLM,close_XLM,open_ZEC,high_ZEC,low_ZEC,close_ZEC
591,2020-08-01 00:00:00,11335.46,11861.0,11220.0,11801.17,346.32,392.67,343.07,387.0,58.13,62.23,57.55,61.65,12.247,13.496,11.0,13.396,20.6637,21.74,20.51,21.6168,0.25938,0.29739,0.25557,0.29089,7.793,8.481,7.623,8.32,3.0933,3.3236,3.0701,3.3038,0.01968,0.02079,0.01939,0.02046,7.398,7.9571,7.312,7.833,0.0969,0.10891,0.0967,0.10758,74.9,95.0,73.96,89.37
590,2020-08-02 00:00:00,11801.17,12123.46,10518.5,11071.35,387.01,415.85,325.0,372.42,61.65,65.17,51.79,56.77,13.394,13.765,11.1,12.16,21.6204,22.1832,19.1,20.9898,0.29089,0.32628,0.2476,0.28803,8.319,8.8,6.609,8.276,3.3048,3.4921,2.5435,2.9441,0.02047,0.02135,0.0175,0.01907,7.8349,8.3089,6.5,7.1939,0.10756,0.11629,0.08443,0.10251,89.43,91.31,73.65,84.31
589,2020-08-03 00:00:00,11071.36,11473.0,10936.0,11219.81,372.45,398.0,366.5,385.94,56.77,60.03,55.71,58.48,12.164,12.771,12.012,12.4,20.9899,22.5,20.7,22.0504,0.28809,0.31999,0.28357,0.31016,8.277,9.268,8.132,9.234,2.9447,3.123,2.901,3.0449,0.01907,0.02013,0.01877,0.01987,7.1936,7.3696,7.0444,7.1658,0.10262,0.10927,0.10117,0.10516,84.27,85.94,81.31,82.3
588,2020-08-04 00:00:00,11219.68,11414.98,11000.0,11191.97,385.91,402.98,380.77,389.61,58.51,59.62,56.26,57.61,12.391,12.785,12.3,12.561,22.0622,22.4433,21.41,22.2818,0.31008,0.31926,0.29038,0.30138,9.234,9.93,9.058,9.839,3.0452,3.1032,2.95,3.0363,0.01987,0.02068,0.01987,0.02039,7.168,7.2769,7.0,7.139,0.10514,0.11165,0.10507,0.11015,82.33,85.31,80.17,84.93
587,2020-08-05 00:00:00,11191.99,11780.93,11093.0,11744.91,389.59,407.0,384.11,400.72,57.62,59.77,56.73,58.88,12.561,12.95,12.379,12.868,22.2967,23.54,22.0566,23.2728,0.30137,0.30813,0.2908,0.30228,9.839,9.845,9.3,9.516,3.0371,3.1,3.0,3.0545,0.02039,0.02073,0.01999,0.02031,7.1372,7.36,7.0532,7.2239,0.11015,0.11151,0.10612,0.10749,84.94,98.07,84.92,97.46
586,2020-08-06 00:00:00,11744.91,11900.0,11562.5,11762.46,400.72,403.66,390.51,394.77,58.88,60.68,57.69,59.03,12.866,13.27,12.736,12.951,23.2685,23.315,22.5,22.7487,0.30233,0.31126,0.29722,0.30311,9.516,10.29,9.427,10.217,3.0557,3.198,2.9985,3.089,0.02031,0.02056,0.01991,0.02022,7.2264,7.2503,6.996,7.0997,0.10743,0.10817,0.104,0.10624,97.46,102.74,92.01,96.75
585,2020-08-07 00:00:00,11762.47,11909.94,11322.0,11594.23,394.77,398.26,362.85,379.34,59.03,61.08,54.51,57.17,12.953,13.5,12.5,12.856,22.7488,22.9999,21.4515,22.3323,0.30309,0.31037,0.27936,0.29437,10.22,10.24,8.984,10.116,3.089,3.25,2.7612,3.0104,0.02024,0.02111,0.01885,0.01988,7.0998,7.2839,6.58,6.8756,0.10624,0.10787,0.088,0.10306,96.77,97.65,87.05,94.42
584,2020-08-08 00:00:00,11594.36,11808.27,11512.0,11761.41,379.34,397.05,375.79,397.03,57.19,58.55,56.46,58.46,12.85,13.155,12.68,13.123,22.3323,22.9241,21.8571,22.9234,0.29444,0.2987,0.2898,0.29527,10.123,14.7,9.92,12.713,3.0103,3.0906,2.9727,3.0649,0.01988,0.02057,0.01966,0.02046,6.8771,6.9859,6.768,6.9377,0.10306,0.10433,0.10127,0.10325,94.41,99.18,91.78,97.08
583,2020-08-09 00:00:00,11761.02,11797.11,11521.97,11681.68,397.05,400.0,383.36,390.14,58.46,58.67,56.0,56.96,13.123,13.369,12.76,12.997,22.923,22.9233,22.0462,22.422,0.29532,0.29839,0.28215,0.2879,12.717,14.48,12.0,13.805,3.0652,3.084,2.9293,3.0272,0.02046,0.02063,0.0201,0.02045,6.9355,7.191,6.6787,6.8798,0.10329,0.10718,0.10232,0.10505,97.06,97.45,89.48,92.01
582,2020-08-10 00:00:00,11681.69,12067.35,11450.0,11892.92,390.14,399.18,385.13,395.44,56.96,59.4,56.38,58.27,12.997,15.4,12.997,14.526,22.4224,22.77,22.0462,22.6369,0.28792,0.30008,0.28301,0.29469,13.809,14.4,12.356,13.493,3.0277,3.2918,2.98,3.2365,0.02045,0.0218,0.02043,0.02146,6.8793,7.1194,6.7073,7.0649,0.10509,0.10689,0.10257,0.10625,92.02,95.48,87.82,89.01
